"","company","region","seniority","job_category","gender","ethnicity","count","inflow","outflow","salary","year"
"47","Accenture Plc","Western Europe",3,"Sales","female","white",318.311548,4.255206,7.385875,26294236.843615,"2020"
"48","Apple","Eastern Europe",3,"Scientist","female","multiple",0.019,0,0,1523.92283595093,"2020"
"49","The Home Depot","Eastern Europe",1,"Sales","female","black",2.275016,0.001763,0.00127,94891.3969519803,"2020"
"50","Apple","Southern Europe",4,"Scientist","male","hispanic",0.743229,7.6e-05,6.7e-05,40225.1897488787,"2020"
"51","The Home Depot","Arab States",5,"Sales","female","hispanic",0,0,0,NA,"2020"
"52","Bristol Myers Squibb Co.","Pacific Islands",4,"Engineer","male","black",0.310708,0.00017,0.00017799999999999,31558.3771356156,"2020"
"53","The Goldman Sachs Group","Arab States",3,"Sales","male","native",0.017,0,0,1572.12199996323,"2020"
"54","Apple","Eastern Europe",6,"Engineer","male","black",0,0,0,NA,"2020"
"55","Apple","Northern America",2,"Engineer","female","multiple",226.557873,6.544365,3.47603,25415094.3436219,"2020"
"56","The Home Depot","Sub-Saharan Africa",2,"Operations","female","hispanic",0.098941,3.4e-05,1.8e-05,2298.94333746184,"2020"
"57","Accenture Plc","Northern Africa",3,"Scientist","female","native",0.048643,0,0.005,647.77448305891,"2020"
"58","Accenture Plc","Western Europe",6,"Admin","female","hispanic",0.539142,1e-04,0.000406,75592.5057687767,"2020"
"59","Bristol Myers Squibb Co.","Southern Asia",1,"Admin","female","black",0.342173,0.00014799999999999,9.8e-05,3091.62260784103,"2020"
"60","Bristol Myers Squibb Co.","Northern America",4,"Scientist","male","api",258.704182,6.528011,4.622902,32446992.6793391,"2020"
"61","Databricks","Northern America",6,"Admin","female","black",0,0,0,NA,"2020"
"62","The Home Depot","Central America and the Caribbean",2,"Sales","female","white",30.992734,0.148599,0.326072,1435407.55490957,"2020"
"63","The Home Depot","Central and Western Asia",5,"Engineer","female","native",0.00297,0,0,143.12829343233,"2020"
"64","Accenture Plc","Central America and the Caribbean",3,"Admin","male","white",1.357187,0.00065799999999999,0.00047699999999999,41497.5998694263,"2020"
"65","The Goldman Sachs Group",NA,4,"Operations","female","native",0.094917,0.000108,3e-05,4509.53443739371,"2020"
"66","The Goldman Sachs Group","Arab States",6,"Operations","female","multiple",0,0,0,NA,"2020"
