"","company","region","seniority","job_category","gender","ethnicity","count","inflow","outflow","salary","year"
"1","Databricks","Northern Europe",3,"Admin","female","native",0,0,0,NA,"2015"
"2","Databricks","Southern Asia",4,"Sales","female","multiple",0.042006,1e-06,1e-06,172628.49085015,"2018"
"3","Bristol Myers Squibb Co.","Central and Western Asia",4,"Admin","male","white",0,0,0,NA,"2011"
"4","Accenture Plc","Northern Europe",4,"Finance","female","api",17.511945,0.250459,0.978486,28972548.8895539,"2019"
"5","The Goldman Sachs Group","Northern America",4,"Operations","male","hispanic",9.905119,0.002024,0.001012,33176389.3187164,"2015"
"6","The Goldman Sachs Group","Sub-Saharan Africa",3,"Operations","male","white",0.574321,0,0,97775.8953055316,"2013"
"7","The Home Depot","Arab States",1,"Sales","male","hispanic",1.790875,1e-06,1e-06,2559563.3049733,"2015"
"8","The Goldman Sachs Group","Arab States",2,"Operations","male","multiple",0.93,0,0,459081.392656337,"2009"
"9","The Goldman Sachs Group","Southern Asia",5,"Scientist","female","native",0,0,0,NA,"2010"
"10","The Home Depot","South-Eastern Asia",5,"Sales","male","black",0.003,0,0,42230.0330258939,"2014"
"11","Accenture Plc","Northern Africa",2,"Admin","male","hispanic",0.470992,0,0,937968.12505713,"2014"
"12","Bristol Myers Squibb Co.","Southern Asia",5,"Engineer","male","api",1.966749,0.00034299999999999,0.00030899999999999,56558.4447850678,"2020"
"13","Apple","Arab States",6,"Operations","female","white",0.016,0,0,784120.615131486,"2011"
"14","Databricks",NA,2,"Marketing","female","black",0,0,0,NA,"2009"
"15","Accenture Plc","Southern Europe",5,"Operations","female","multiple",0.876424,0.014142,0.005124,40833824.010426,"2016"
"16","Bristol Myers Squibb Co.","Southern Europe",1,"Engineer","female","api",1.352145,0,0.00503099999999999,5270704.78010676,"2009"
"17","Accenture Plc","Pacific Islands",7,"Engineer","female","hispanic",0,0,0,NA,"2013"
"18","The Home Depot","South-Eastern Asia",2,"Operations","male","api",11.814344,0.000222,0.000132,631788.840297634,"2018"
"19","Accenture Plc","Northern Africa",6,"Engineer","female","white",0.044,0,0,39600.9884929647,"2012"
"20","Apple","Northern Africa",2,"Scientist","male","black",8.584982,2e-06,5e-06,2440696.72550152,"2008"
"21","Apple","Northern Africa",5,"Marketing","male","hispanic",0.006,0,0,119613.251437939,"2009"
"22","Accenture Plc","Northern Europe",3,"Marketing","male","hispanic",2.903773,1e-06,2e-06,8196903.58619201,"2010"
"23","Bristol Myers Squibb Co.","Arab States",5,"Operations","female","hispanic",0,0,0,NA,"2011"
"24","The Goldman Sachs Group",NA,2,"Marketing","female","black",0.495739,0.000604,0.00062299999999999,891463.996416244,"2021"
"25","Apple","Central America and the Caribbean",6,"Sales","female","black",0.002,0,0,315186.818246443,"2010"
"26","Apple",NA,2,"Marketing","female","hispanic",16.401583,0.043229,0.282767,39047173.4875746,"2012"
"27","Databricks","Southern Europe",4,"Sales","female","white",0,0,0,NA,"2014"
"28","Accenture Plc","South-Eastern Asia",5,"Operations","female","multiple",3.666241,0.023334,0.053777,20063264.4584966,"2021"
"29","Bristol Myers Squibb Co.","Western Europe",1,"Finance","female","multiple",0.478541,8.1e-05,0.010752,2703731.40868043,"2019"
"30","Accenture Plc","Northern Europe",1,"Sales","female","black",12.604886,0.660417,0.545539,7067695.91599153,"2012"
"31","Accenture Plc","Southern Asia",1,"Marketing","male","hispanic",0.769593,0.067359,0.003024,3249037.69536929,"2011"
"32","The Goldman Sachs Group","Southern Europe",1,"Sales","male","multiple",0.054461,0.00024499999999999,8.7e-05,1325430.81972803,"2020"
"33","The Home Depot","Central and Western Asia",5,"Sales","male","black",0,0,0,NA,"2009"
"34","Apple","Sub-Saharan Africa",1,"Engineer","female","white",14.353937,4e-06,0.034715,1819940.24892977,"2008"
"35","The Home Depot","Central and Western Asia",1,"Sales","male","hispanic",10.664195,0.091933,0.594499,8944180.61567699,"2016"
"36","The Goldman Sachs Group","Northern Europe",4,"Operations","male","hispanic",1.362162,0.007015,0,3358163.38145494,"2014"
"37","Apple","Southern Asia",2,"Admin","female","black",21.606001,5e-06,0.09051,22723866.1068236,"2014"
"38","Databricks","Eastern Asia",3,"Admin","male","white",0,0,0,NA,"2014"
"39","Databricks","Northern America",3,"Operations","female","hispanic",0,0,0,NA,"2016"
"40","Apple","Southern Europe",2,"Engineer","male","native",1.827768,0.006151,8e-06,29359280.1055277,"2017"
"41","The Home Depot","Southern America",1,"Operations","female","hispanic",1.846492,0.025591,0.00038499999999999,441924.075565001,"2021"
"42","Accenture Plc","Northern America",4,"Admin","male","hispanic",26.933497,0.059823,0.558196,95034673.5210252,"2016"
"43","The Home Depot","Western Europe",5,"Engineer","male","black",0.002,0,0,152814.131492231,"2013"
"44","Bristol Myers Squibb Co.","Northern Africa",2,"Marketing","male","black",0.041902,0,0,61362.9502052347,"2017"
"45","Apple","Central and Western Asia",1,"Marketing","female","black",1.110857,0,0,2644014.88384312,"2013"
"46","Accenture Plc","Western Europe",2,"Marketing","male","native",0.975113,0.045232,0.019099,23852628.0565247,"2015"
"47","Accenture Plc","Western Europe",1,"Sales","female","api",6.908508,1.365535,0.006073,15650332.5531693,"2015"
"48","The Home Depot","Northern Europe",3,"Operations","female","black",1.41735,1e-05,2e-06,1161814.6965439,"2016"
"49","The Goldman Sachs Group","Central America and the Caribbean",3,"Operations","male","native",0.051985,0,0,149632.557284461,"2017"
"50","The Home Depot","Sub-Saharan Africa",5,"Operations","female","black",2.102983,0,0,335616.243719234,"2015"
